AREA|CODE
Abbeville County, SC|5053
Abbeville, SC|1795
Acadia Parish, LA|5401
Acadia, LA|2166
Accomack County, VA|4335
Accomack, VA|1694
Ada County, ID|3275
Ada, ID|1203
Adair County, IA|5501
Adair County, KY|5140
Adair County, MO|5051
Adair County, OK|5082
Adair, IA|2546
Adair, KY|2075
Adair, MO|2200
Adair, OK|879
Adams County, CO|3255
Adams County, IA|5789
Adams County, ID|5518
Adams County, IL|3868
Adams County, IN|4800
Adams County, MS|5018
Adams County, ND|5720
Adams County, NE|5729
Adams County, OH|4409
Adams County, PA|3674
Adams County, WA|4876
Adams County, WI|4565
Adams, CO|108
Adams, IA|2796
Adams, ID|2446
Adams, IL|1452
Adams, IN|2024
Adams, MS|1711
Adams, ND|2715
Adams, NE|784
Adams, OH|808
Adams, PA|370
Adams, WA|2254
Adams, WI|910
Addison County, VT|4267
Addison, VT|730
Aguadilla, PR|2158
Aiken County, SC|3487
Aiken, SC|259
Aitkin County, MN|4646
Aitkin, MN|1918
Alachua County, FL|3368
Alachua, FL|1241
Alamance County, NC|3513
Alamance, NC|1292
Alameda County, CA|3131
Alameda, CA|16
Alamosa County, CO|5194
Alamosa, CO|991
Albany County, NY|3315
Albany County, WY|4276
Albany, NY|149
Albany, WY|1652
Albemarle County, VA|3685
Albemarle, VA|376
Alcona County, MI|4704
Alcona, MI|1960
Alcorn County, MS|5008
Alcorn, MS|2175
Aleutians East Borough, AK|6098
Aleutians West Borough, AK|6219
Alexander County, IL|5724
Alexander County, NC|4255
Alexander, IL|2761
Alexander, NC|721
Alexandria City, VA|290
Alexandria County, VA|5827
Alfalfa County, OK|6022
Alfalfa, OK|1131
Alger County, MI|5307
Alger, MI|2134
Allamakee County, IA|4924
Allamakee, IA|1005
Allegan County, MI|3631
Allegan, MI|1343
Allegany County, MD|3815
Allegany County, NY|4064
Allegany, MD|456
Allegany, NY|604
Alleghany County, NC|4701
Alleghany County, VA|4906
Alleghany, NC|1053
Alleghany, VA|2093
Allegheny County, PA|3140
Allegheny, PA|23
Allen County, IN|3288
Allen County, KS|4935
Allen County, KY|4588
Allen County, OH|3655
Allen Parish, LA|5715
Allen, IN|1205
Allen, KS|2315
Allen, KY|1866
Allen, LA|3086
Allen, OH|355
Allendale County, SC|5929
Allendale, SC|2744
Alpena County, MI|4388
Alpena, MI|1732
Alpine County, CA|6174
Alpine, CA|1154
Amador County, CA|4239
Amador, CA|710
Amelia County, VA|5246
Amelia, VA|2114
Amherst County, VA|4360
Amherst, VA|777
Amite County, MS|5739
Amite, MS|2858
Anchorage Borough, AK|3326
Anchorage, AK|1221
Anderson County, KS|4973
Anderson County, KY|4555
Anderson County, SC|3433
Anderson County, TN|3814
Anderson County, TX|3954
Anderson, KS|2139
Anderson, KY|1846
Anderson, SC|223
Anderson, TN|455
Anderson, TX|1485
Andrew County, MO|4891
Andrew, MO|2843
Andrews County, TX|5208
Andrews, TX|2291
Androscoggin County, ME|3646
Androscoggin, ME|348
Angelina County, TX|3746
Angelina, TX|1390
Anne Arundel County, MD|3223
Anne Arundel, MD|83
Anoka County, MN|3300
Anoka, MN|139
Anson County, NC|4442
Anson, NC|825
Antelope County, NE|5996
Antelope, NE|2612
Antrim County, MI|4516
Antrim, MI|1818
Apache County, AZ|3836
Apache, AZ|468
Appanoose County, IA|5243
Appanoose, IA|1035
Appling County, GA|5149
Appling, GA|2567
Appomattox County, VA|5202
Appomattox, VA|2288
Aransas County, TX|4526
Aransas, TX|1824
Arapahoe County, CO|3216
Arapahoe, CO|78
Archer County, TX|5571
Archer, TX|2375
Archuleta County, CO|4694
Archuleta, CO|1044
Arecibo, PR|2151
Arenac County, MI|4652
Arenac, MI|1920
Arkansas County, AR|5135
Arkansas, AR|934
Arlington County, VA|3401
Arlington, VA|202
Armstrong County, PA|3855
Armstrong County, TX|5653
Armstrong, PA|477
Armstrong, TX|3051
Aroostook County, ME|3835
Aroostook, ME|1433
Arthur County, NE|6216
Arthur, NE|2838
Ascension Parish, LA|3651
Ascension, LA|1355
Ashe County, NC|4435
Ashe, NC|821
Ashland County, OH|4007
Ashland County, WI|4647
Ashland, OH|1512
Ashland, WI|976
Ashley County, AR|5097
Ashley, AR|893
Ashtabula County, OH|3672
Ashtabula, OH|368
Asotin County, WA|4552
Asotin, WA|1842
Assumption Parish, LA|5428
Assumption, LA|2695
Atascosa County, TX|4129
Atascosa, TX|1569
Atchison County, KS|4894
Atchison County, MO|6020
Atchison, KS|2269
Athens County, OH|3892
Athens, OH|498
Atkinson County, GA|5964
Atkinson, GA|2757
Atlantic County, NJ|3341
Atlantic, NJ|163
Atoka County, OK|4927
Atoka, OK|1010
Attala County, MS|5130
Attala, MS|2247
Audrain County, MO|4477
Audrain, MO|1792
Audubon County, IA|5371
Audubon, IA|2778
Auglaize County, OH|4111
Auglaize, OH|630
Augusta County, VA|3825
Augusta, VA|461
Aurora County, SD|6112
Aurora, SD|3020
Austin County, TX|4415
Austin, TX|1749
Autauga County, AL|3993
Autauga, AL|1505
Avery County, NC|4618
Avery, NC|1893
Avoyelles Parish, LA|5405
Avoyelles, LA|2172
Baca County, CO|6077
Baca, CO|2799
Bacon County, GA|5922
Bacon, GA|2739
Bailey County, TX|5583
Bailey, TX|2897
Baker County, FL|4439
Baker County, GA|6085
Baker County, OR|4648
Baker, FL|1766
Baker, GA|2800
Baker, OR|977
Baldwin County, AL|3440
Baldwin County, GA|4116
Baldwin, AL|228
Baldwin, GA|1562
Ballard County, KY|5339
Ballard, KY|2760
Baltimore City, MD|73
Baltimore County, MD|3176
Baltimore, MD|48
Bamberg County, SC|5872
Bamberg, SC|2511
Bandera County, TX|4578
Bandera, TX|1860
Banks County, GA|4879
Banks, GA|2077
Banner County, NE|6189
Banner, NE|2833
Bannock County, ID|3762
Bannock, ID|1396
Baraga County, MI|5325
Baraga, MI|2380
Barber County, KS|5616
Barber, KS|2947
Barbour County, AL|4431
Barbour County, WV|4898
Barbour, AL|1762
Barbour, WV|2089
Barnes County, ND|5554
Barnes, ND|2864
Barnstable County, MA|3391
Barnstable, MA|196
Barnwell County, SC|5731
Barnwell, SC|881
Barren County, KY|4172
Barren, KY|1593
Barron County, WI|4113
Barron, WI|1561
Barrow County, GA|3852
Barrow, GA|1443
Barry County, MI|3946
Barry County, MO|4289
Barry, MI|1483
Barry, MO|1662
Bartholomew County, IN|3800
Bartholomew, IN|1414
Barton County, KS|4833
Barton County, MO|5251
Barton, KS|2043
Barton, MO|2327
Bartow County, GA|3677
Bartow, GA|1362
Bastrop County, TX|3823
Bastrop, TX|1428
Bates County, MO|5167
Bates, MO|2086
Bath County, KY|5265
Bath County, VA|5394
Bath, KY|2124
Bath, VA|2441
Baxter County, AR|4186
Baxter, AR|678
Bay County, FL|3466
Bay County, MI|3644
Bay, FL|1279
Bay, MI|1353
Bayamon, PR|2152
Bayfield County, WI|4668
Bayfield, WI|1931
Baylor County, TX|5628
Baylor, TX|2977
Beadle County, SD|5445
Beadle, SD|2503
Bear Lake County, ID|5375
Bear Lake, ID|2435
Beaufort County, NC|4077
Beaufort County, SC|3480
Beaufort, NC|1543
Beaufort, SC|253
Beauregard Parish, LA|4286
Beauregard, LA|1660
Beaver County, OK|5688
Beaver County, PA|3461
Beaver County, UT|5366
Beaver, OK|2620
Beaver, PA|239
Beaver, UT|2427
Beaverhead County, MT|4966
Beaverhead, MT|2137
Becker County, MN|4358
Becker, MN|775
Beckham County, OK|4542
Beckham, OK|892
Bedford City, VA|2431
Bedford County, PA|4052
Bedford County, TN|4125
Bedford County, VA|3861
Bedford, PA|596
Bedford, TN|1567
