AREA|CODE
Aberdeen, NC|974
Aberdeen, SD|855
Aberdeen, WA|255
Abilene, TX|347
Ada, OK|313
Adrian Township, MI|1030
Adrian, MI|222
Aiken, SC|946
Akron, OH|348
Alamogordo, NM|557
Albany, GA|447
Albany, NY|52
Albany, OR|203
Albany-Schenectady-Troy, NY|1144
Albemarle, NC|269
Albert Lea, MN|698
Albertville, AL|503
Albuquerque, NM|51
Alexander City, AL|1264
Alexandria, LA|450
Alexandria, MN|316
Alice, TX|831
Allegan, MI|967
Allentown, PA|58
Allentown-Bethlehem-Easton, PA|1149
Alma, MI|636
Alpena, MI|700
Alta, IA|1021
Altoona, PA|193
Altus, OK|809
Amarillo, TX|349
Americus, GA|801
Ames, IA|508
Amsterdam, NY|780
Anchorage, AK|98
Andrews, TX|736
Angola, IN|687
Ann Arbor, MI|106
Anniston, AL|201
Anniston-Oxford-Jacksonville, AL|1256
Appleton, WI|350
Arcadia, FL|683
Ardmore, OK|609
Arkadelphia, AR|721
Arkansas City-Winfield, KS|675
Asheboro, NC|1002
Asheville, NC|351
Ashland, OH|590
Ashtabula, OH|219
Aspen, CO|1074
Astoria, OR|668
Atchison, KS|886
Athens Township, PA|1031
Athens, GA|147
Athens, OH|260
Athens, TN|778
Athens, TX|243
Athens-Clarke County, GA|1204
Atlanta, GA|9
Atlanta-Sandy Springs-Roswell, GA|1112
Atlantic City, NJ|117
Atlantic City-Hammonton, NJ|1190
Atmore, AL|1266
Auburn, AL|179
Auburn, IN|795
Auburn, NY|526
Auburn-Opelika, AL|1216
Augusta, GA|352
Augusta, ME|198
Augusta-Richmond County, GA|1161
Augusta-Waterville, ME|1224
Austin, MN|893
Austin, TX|31
Austin-Round Rock, TX|1133
Bainbridge, GA|849
Bakersfield, CA|55
Baltimore, MD|19
Baltimore-Columbia-Towson, MD|1122
Bangor, ME|167
Baraboo, WI|266
Bardstown, KY|632
Barnstable Town, MA|1201
Barnstable, MA|1049
Barre, VT|272
Bartlesville, OK|287
Basalt, CO|940
Bastrop, LA|706
Batavia, NY|570
Batesville, AR|672
Baton Rouge, LA|60
Battle Creek, MI|183
Bay City, MI|486
Bay City, TX|670
Beatrice, NE|905
Beaumont, TX|353
Beaumont-Port Arthur, TX|1179
Beaver Dam, WI|237
Beckley, WV|473
Bedford, IN|785
Beeville, TX|871
Bella Vista, AR|1043
Bellefontaine, OH|787
Bellingham, WA|354
Bemidji, MN|628
Bend, OR|355
Bend-Redmond, OR|1209
Bennettsville, SC|873
Bennington, VT|314
Berlin, NH|652
Berwick, PA|1070
Big Rapids Township, MI|1013
Big Rapids, MI|635
Big Spring, TX|866
Big Stone Gap, VA|739
Billings, MT|446
Binghamton, NY|127
Birmingham, AL|356
Birmingham-Hoover, AL|1141
Bismarck, ND|754
Blackfoot, ID|299
Blackman Township, MI|989
Blacksburg, VA|154
Blacksburg-Christiansburg-Radford, VA|1207
Bloomington, IL|433
Bloomington, IN|445
Bloomsburg, PA|514
Bloomsburg-Berwick, PA|1238
Bluefield, WV|489
Bluffton, SC|933
Blytheville, AR|827
Bogalusa, LA|293
Boggs Township, PA|1071
Boise City, ID|72
Boise, ID|945
Bonham, TX|1267
Bonne Terre, MO|1081
Boone, IA|708
Boone, NC|597
Borger, TX|725
Boston, MA|10
Boston-Cambridge-Newton, MA|1113
Boulder, CO|115
Bowling Green, KY|165
Bozeman, MT|509
Bradenton, FL|944
Bradford Township, PA|1025
Bradford, PA|631
Brainerd, MN|507
Branson, MO|239
Braselton, GA|1007
Breckenridge, CO|808
Bremerton, WA|357
Bremerton-Silverdale, WA|1197
Brenham, TX|688
Brevard, NC|690
Bridgeport, CT|922
Bridgeport, WV|971
Bridgeport-Stamford-Norwalk, CT|1143
Brookhaven, MS|909
Brookings, OR|342
Brookings, SD|870
Brownsville, TN|1277
Brownsville, TX|94
Brownsville-Harlingen, TX|1176
Brownwood, TX|800
Brunswick, GA|481
Bryan, TX|1047
Bucyrus, OH|792
Buffalo, NY|41
Buffalo-Cheektowaga-Niagara Falls, NY|1140
Burley, ID|634
Burlington, IA|783
Burlington, NC|169
Burlington, VT|358
Burlington-South Burlington, VT|1244
Bushnell, FL|1005
Butte, MT|686
Butte-Silver Bow, MT|1258
Byron, IL|1088
Ca-¦on City, CO|1564
Ca-¦on City, CO|1262
Cadillac, MI|608
Calhoun, GA|278
California-Lexington Park, MD|215
Calumet Township, MI|1097
Cambridge, MD|322
Cambridge, OH|833
Camden, AR|326
Campbellsville, KY|717
Canon City, CO|1563
Canton, IL|902
Canton, OH|96
Canton-Massillon, OH|1178
Cape Cod, MA|136
Cape Coral-Fort Myers, FL|1155
Cape Girardeau, MO|497
Carbondale, IL|471
Carbondale-Marion, IL|1222
Carlsbad, NM|825
Carlsbad-Artesia, NM|1259
Carroll Valley, PA|1064
Carroll, IA|1279
Carson City, NV|277
Casper, WY|768
Ca±on City, CO|1257
Canon City, CO|1568
Canon City, CO|1566
Cedar City, UT|620
Cedar Rapids, IA|360
Cedartown, GA|642
Celina, OH|796
Central City, KY|1272
Centralia, IL|900
Centralia, WA|249
Chambersburg, PA|171
Chambersburg-Waynesboro, PA|1248
Champaign, IL|953
Champaign-Urbana, IL|131
Chapmanville, WV|1016
Charleston, IL|553
Charleston, SC|67
Charleston, WV|133
Charleston-Mattoon, IL|1251
Charleston-North Charleston, SC|1154
Charlotte, NC|22
Charlotte-Concord-Gastonia, NC|1125
Charlottesville, VA|361
Chattanooga, TN|81
Chehalis, WA|1072
Cheyenne, WY|505
Chicago, IL|3
Chicago-Naperville-Elgin, IL|1106
Chico, CA|134
Chillicothe, OH|528
Cincinnati, OH|26
Claremont, NH|135
Claremont-Lebanon, NH|1200
Clarkesville, GA|1094
Clarksburg, WV|500
Clarksdale, MS|908
Clarksville, TN|122
Claverack, NY|1083
Clearlake, CA|261
Cleveland, MS|867
Cleveland, OH|362
Cleveland, TN|205
Cleveland-Elyria, OH|1129
Clewiston, FL|834
Clinton, IA|894
Clovis, NM|604
Coeburn, VA|1084
Coeur d'Alene, ID|180
Coffeyville, KS|319
Coldwater, MI|623
Coldwater, OH|991
College Station, TX|132
College Station-Bryan, TX|1199
Colorado Springs, CO|68
Columbia, MO|363
Columbia, SC|63
Columbus, GA|364
Columbus, IN|247
Columbus, MS|572
Columbus, NE|693
Columbus, OH|28
Commerce, GA|1086
Concord, NH|173
Connersville, IN|718
Conway, SC|926
Cookeville, TN|214
Coolbaugh, PA|956
Coos Bay, OR|264
Cordele, GA|851
Corinth, MS|667
Cornelia, GA|633
Corning, NY|224
Corpus Christi, TX|365
Corsicana, TX|606
Cortland, NY|814
Corvallis, OR|238
Coshocton, OH|315
Craig, CO|748
Crawfordsville, IN|312
Crescent City, CA|807
Crestview, FL|929
Crestview-Fort Walton Beach-Destin, FL|434
Crivitz, WI|1080
Crossville, TN|578
Cullman, AL|524
Cullowhee, NC|649
Cumberland, MD|216
Dallas, TX|916
Dallas-Fort Worth, TX|4
Dallas-Fort Worth-Arlington, TX|1107
Dalton, GA|461
Danville, IL|766
Danville, KY|589
Danville, VA|490
