AREA|CODE
Alabama|3
Alaska|2
Arizona|5
Arkansas|4
California|6
Colorado|7
Connecticut|8
Delaware|10
District of Columbia|9
Florida|11
Georgia|12
Hawaii|13
Idaho|15
Illinois|16
Indiana|17
Iowa|14
Kansas|18
Kentucky|19
Louisiana|20
Maine|51
Maryland|22
Massachusetts|21
Michigan|23
Minnesota|24
Mississippi|26
Missouri|25
Montana|27
Nebraska|30
Nevada|34
New Hampshire|31
New Jersey|32
New Mexico|33
New York|35
North Carolina|28
North Dakota|29
Ohio|36
Oklahoma|37
Oregon|38
Pennsylvania|39
Puerto Rico|53
Rhode Island|40
South Carolina|41
South Dakota|52
Tennessee|42
Texas|43
United States|1
Utah|44
Vermont|46
Virginia|45
Washington|47
West Virginia|49
Wisconsin|48
Wyoming|50
