AREA|CODE
10th and Page, Charlottesville, Albemarle County, VA|37350
10th and Page, VA|34104
11th Street Bridge, DE|26804
11th Street Bridge, Wilmington, New Castle County, DE|39595
145 Association, San Antonio, Bexar County, TX|35800
145 Association, TX|33162
165 Association, San Antonio, Bexar County, TX|35776
165 Association, TX|34747
17th Street Neighborhood Association, FL|28396
17th Street Neighborhood Association, Sarasota, Sarasota County, FL|38546
17th Street Neighborhood Association, Sarasota, Sarasota, FL|9474
184 Association, San Antonio, Bexar County, TX|35696
184 Association, TX|25249
19th Ward, NY|20000
19th Ward, Rochester, Monroe County, NY|10787
19th Ward, Rochester, Monroe, NY|2212
1st Ward, Allentown, Lehigh County, PA|19499
1st Ward, Allentown, Lehigh, PA|10059
1st Ward, PA|25451
21st Century, Chattanooga, Hamilton County, TN|41633
21st Century, TN|31763
28 Palms, CA|24233
28 Palms, Fremont, Alameda County, CA|15328
28 Palms, Fremont, Alameda, CA|4785
29th and Chase, FL|27394
29th and Chase, Jacksonville, Duval County, FL|18948
29th and Chase, Jacksonville, Duval, FL|5317
33rd St. Industrial, FL|24408
33rd St. Industrial, Orlando, Orange County, FL|39065
39th East, Independence, Jackson County, MO|14200
39th East, Independence, Jackson, MO|9215
39th East, MO|22540
40th & A, Lincoln, Lancaster County, NE|14614
40th & A, Lincoln, Lancaster, NE|4605
40th & A, NE|24924
441 Corridor, FL|20649
441 Corridor, Hollywood, Broward County, FL|12689
441 Corridor, Hollywood, Broward, FL|712
45th and Moncrief, FL|23478
45th and Moncrief, Jacksonville, Duval County, FL|18760
45th and Moncrief, Jacksonville, Duval, FL|4468
5 Points, FL|34734
5 Points, Sarasota, Sarasota County, FL|12401
5 Points, Sarasota, Sarasota, FL|7583
50th and France, Edina, Hennepin County, MN|42634
50th and France, MN|35066
5th SW, Charlottesville, Albemarle County, VA|41496
5th SW, VA|34592
65th St. West, AR|23437
65th St. West, Little Rock, Pulaski County, AR|18757
65th St. West, Little Rock, Pulaski, AR|4805
6th Ward, Allentown, Lehigh County, PA|14657
6th Ward, Allentown, Lehigh, PA|9175
6th Ward, PA|23261
8th Ward, Allentown, Lehigh County, PA|18441
8th Ward, Allentown, Lehigh, PA|1636
8th Ward, PA|21465
9th Ward Area, DE|21475
9th Ward Area, Wilmington, New Castle County, DE|11415
9th Ward Area, Wilmington, New Castle, DE|1929
A Mountain, AZ|24154
A Mountain, Tucson, Pima County, AZ|15284
A Mountain, Tucson, Pima, AZ|4755
A Presidential Neighborhood, El Paso, El Paso County, TX|36603
A Presidential Neighborhood, TX|34515
ACCENT, Des Moines, Polk County, IA|12248
ACCENT, Des Moines, Polk, IA|4701
ACCENT, IA|23503
ASU-College Hills, San Angelo, Tom Green County, TX|13569
ASU-College Hills, San Angelo, Tom Green, TX|8637
ASU-College Hills, TX|24626
Abbington Park Condos, Nashville, Davidson County, TN|38389
Abbington Park Condos, TN|32848
Abbot Martin Estates, Nashville, Davidson County, TN|39869
Abbot Martin Estates, TN|33880
Abbotsford, Nashville, Davidson County, TN|38228
Abbotsford, TN|32363
Abbott Loop, AK|24475
Abbott Loop, Anchorage, Anchorage Borough, AK|10689
Abbott Loop, Anchorage, Anchorage, AK|316
Abbott McKinley, Buffalo, Erie County, NY|17972
Abbott McKinley, Buffalo, Erie, NY|3682
