Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
AMT,American Tower Corporation (REIT),250.73,-0.57,-0.23%,"916,134",1.833M,111.217,58.19,
PLD,"Prologis, Inc.",102.64,-0.24,-0.23%,2.071,3.302M,75.827,40.38,
CCI,Crown Castle International Corp. (REIT),164.36,-0.84,-0.51%,1.22,2.222M,68.977,94.57,
EQIX,"Equinix, Inc. (REIT)",770.12,-2.87,-0.37%,"280,446","475,489",68.2,133.61,
SPG-PJ,"Simon Property Group, Inc.",62.67,-2.67,-4.09%,"1,409","1,858",52.987,11.01,
PSA-PK,Public Storage,27.41,-0.01,-0.04%,"8,188","14,852",45.968,N/A,
PSA-PH,Public Storage,28.46,0,0.00%,"24,885","26,261",45.906,4.07,
DLR,"Digital Realty Trust, Inc.",152.14,-2.3,-1.49%,"817,834",2.061M,40.925,55.93,
PSA,Public Storage,197.3,-1.08,-0.54%,"550,695","928,739",34.489,28.19,
SBAC,SBA Communications Corporation (REIT),304.63,0.24,0.0008,"309,034","747,178",34.1,N/A,
CSGP,"CoStar Group, Inc.",841.69,16.95,0.0206,"116,780","308,431",33.135,103.89,
DLR-PJ,"Digital Realty Trust, Inc.",26.73,-0.06,-0.22%,"4,505","14,428",28.663,9.83,
DLR-PK,"Digital Realty Trust, Inc.",27.35,0.06,0.002,"42,146","16,616",28.419,10.06,
DLR-PG,"Digital Realty Trust, Inc.",25.56,-0.06,-0.21%,"19,109","13,827",27.42,9.4,
DLR-PC,"Digital Realty Trust, Inc.",26.05,-0.03,-0.13%,"22,610","12,125",26.032,9.58,
DLR-PI,"Digital Realty Trust, Inc.",25.27,0,-0.02%,"311,827","16,648",25.813,9.29,
BXP-PB,"Boston Properties, Inc.",25.7,0.05,0.002,"5,544","8,873",24.311,3.94,
WELL,Welltower Inc.,55.99,-0.92,-1.62%,1.67,3.396M,23.365,17.73,
ARE,"Alexandria Real Estate Equities, Inc.",170.7,-2.6,-1.50%,"377,279",1.007M,21.528,51.09,
WY,Weyerhaeuser Company,28.5,-0.7,-2.40%,2.95,5.84M,21.269,69.34,
AVB,"AvalonBay Communities, Inc.",150.7,-2.21,-1.45%,"774,083",1.175M,21.21,26.9,
O,Realty Income Corporation,61.43,-1.57,-2.49%,1.471,2.844M,21.196,42.08,
SPG,Spark Power Group Inc.,66.02,-1.81,-2.67%,5.419,8.365M,20.195,11.6,
EQR,Equity Residential,53.51,-1.31,-2.39%,1.821,3.066M,19.917,17.76,
INVH,Invitation Homes Inc.,29.18,-0.67,-2.24%,2.752,3.972M,16.356,88.9,
